"","","","","","","","","Statistics","","","","","","","","","","",""
"#","Variable Name","Distribution","Vars In Coeff","GT Coeff","Prior Coeff","Mean Coeff","STD","HDI_3%","HDI_97%","MCSE_Mean","MCSE_STD","MCSE_Mean %","ESS_Bulk","ESS_Tail","R_hat","Data Influence","Cohens D","Model Transform","Contribution Group"
"20","US CPI FoodAtHome NSA 1984=100|CMav(5)|Lag(2)","TruncatedNormal","1.0634795427","1.2854463054","1","1.28544631","0.17192603","0.96438661","1.49990609","0.00419488","0.00296675","0.0032633646","1696.29790229","1734.47658436","0.99995335","1.6707283941","1.2305100491","STA","Food Inflation"
"21","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID DIGITAL VIDEO_IMPRESSIONS_GRP|CoverCurve(1,0.8,0.5)|Lag(1)","TruncatedNormal","-0.0397424251","0.0312243609","0.0308353845","0.03122436","0.00898581","0.01733779","0.04611593","0.0001444","0.00010493","0.0046245944","3356.55108986","2045.78637448","1.00043523","0.9858743953","0.0345281657","SUB","National Media"
"22","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID DIGITAL DISPLAY_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","-0.21575059","0.020587217","0.0213558115","0.02058722","0.00616788","0.01072487","0.03068487","0.000099","0.00007092","0.0048088086","3355.03549224","1683.36717936","0.99962845","0.9982506145","0.0683457791","SUB","National Media"
"23","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_SOCIAL_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","0.1067333296","0.0024975612","0.00245595","0.00249756","0.00070603","0.00140221","0.00367605","0.00000955","0.00000709","0.003823732","4770.21724121","1512.29274206","1.00061652","1.0162599323","0.0584017988","SUB","National Media"
"24","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID DIGITAL AUDIO_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)|Lag(1)","TruncatedNormal","0.0736363977","0.0106640795","0.0106779058","0.01066408","0.00309684","0.00592755","0.01594768","0.00005775","0.00004084","0.0054153757","2687.95302831","1967.63242775","0.99988774","0.9808191576","0.0125029187","SUB","National Media"
"25","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_LINEAR TV_TV_GRP|AdModel(2+2 65 100 14)","TruncatedNormal","0.0632729307","0.0712040511","0.0775816068","0.07120405","0.02166415","0.03882153","0.10743897","0.00031756","0.00024269","0.0044598587","4421.83038669","2108.51613885","0.99995714","1.0192650069","0.3314070517","SUB","National Media"
"26","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_RADIO_RADIO_IMPRESSIONS_GRP|CoverCurve(2,0.95,0.5)","TruncatedNormal","-0.0464200862","0.0258499463","0.0268401578","0.02584995","0.00748922","0.01348412","0.03800272","0.00010215","0.00007395","0.0039516517","4537.41305632","1831.44163073","1.00189925","1.03619202","0.1198093456","SUB","National Media"
"27","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_SUM_TOTAL_DIGITAL_CUSTOM PARTNERSHIP_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","-0.156264782","0.0388188515","0.045394294","0.03881885","0.01201004","0.02271187","0.06089514","0.00019931","0.0001531","0.0051343613","3396.24998923","1774.01812806","1.00081492","1.0749622816","0.4378970537","SUB","National Media"
"28","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_PAIDSEARCH_PAID SEARCH_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","-0.2222576737","0.1006416886","0.0981133878","0.10064169","0.02778518","0.05617394","0.14693331","0.00042557","0.00030163","0.0042285657","4062.0848174","1691.03057513","1.00119338","1.0358853173","0.0915776872","SUB","National Media"
"29","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_PRINT_PRINT_IMPRESSIONS_GRP|CoverCurve(2,0.95,0.5)","TruncatedNormal","0.0444807187","0.0031988079","0.0031266201","0.00319881","0.00088642","0.00178302","0.00468651","0.00001544","0.00001092","0.004826795","3124.91009913","1877.19624475","1.00264123","1.0342162857","0.0867016896","SUB","National Media"
