"#","Variable Name","Coefficient","△ Coeff (%)","Fixed","SE","T-Value","VIF","Random Effect","Contribution Group","Model Transform","Normalised","Source File","Indirect"
"22","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID DIGITAL DISPLAY_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-0.21575059","0","false","0.1772026867","-1.217535615","5.0465197563","false","National Media","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"23","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_TOTAL_SOCIAL_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.1067333296","0","false","0.0527334101","2.024017334","6.2449541092","false","National Media","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"24","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_DIGITAL_PAID DIGITAL AUDIO_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)|Lag(1)","0.0736363977","0","false","0.1477877647","0.4982577562","4.8573856354","false","National Media","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"25","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_LINEAR TV_TV_GRP|AdModel(2+2 65 100 14)","0.0632729307","0","false","0.0823403299","0.7684318423","3.2470366955","false","National Media","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"26","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_RADIO_RADIO_IMPRESSIONS_GRP|CoverCurve(2,0.95,0.5)","-0.0464200862","0","false","0.0871409848","-0.5327009559","3.3367297649","false","National Media","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"27","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_SUM_TOTAL_DIGITAL_CUSTOM PARTNERSHIP_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-0.156264782","0","false","0.0856153443","-1.8251959085","2.1926372051","false","National Media","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"28","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_PAIDSEARCH_PAID SEARCH_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-0.2222576737","0","false","1.0259222984","-0.2166418135","4.298122406","false","National Media","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"29","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_PRINT_PRINT_IMPRESSIONS_GRP|CoverCurve(2,0.95,0.5)","0.0444807187","0","false","0.0378101543","1.1764224768","2.813555479","false","National Media","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"30","AMAZON_MEDIA_Search_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.2016584724","0","false","0.1286259741","1.5677896738","7.6354627609","false","Amazon Search","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"31","AMAZON_MEDIA_Display_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.0263288375","0","false","0.0470816791","0.5592162013","5.5910205841","false","Amazon Display","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"32","AMAZON_MEDIA_Video_IMPRESSIONS_GRP|CoverCurve(1,0.8,0.5)","0.0329027697","0","false","0.098367013","0.334489882","3.6789455414","false","Amazon Video","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"33","AMAZON_KPI_GMI_NV_SNS_NEW_DISCOUNT","1.3437365294","0","false","0.1926977336","6.9732866287","3.0534324646","false","Promotion","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"34","NV_Amazon Launches Q22021_3mdvs","3.7106118202","0","false","2.0880746841","1.7770493031","3.676700592","false","Launches","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"35","NV_Amazon Launches Q42022_3mdvs","-9.6653852463","0","false","29.9427242279","-0.3227958083","14.9676208496","false","Launches","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"36","NV_Amazon Launches Q32022_3mdvs","7.6969480515","0","false","5.2199225426","1.4745329618","13.2039022446","false","Launches","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"37","NV_Amazon Launches Q32021_3mdvs","3.6456410885","0","false","3.4259095192","1.0641381741","4.2373008728","false","Launches","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"38","AMAZON_KPI_GMI_NATURE VALLEY_DEPTH_OF_DISCOUNT_NEW","0.5688256025","0","false","0.1322648227","4.3006567955","2.6617951393","false","Promotion","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"39","AMAZON_KPI_GMI_NATURE VALLEY_DEPTH_OF_DISCOUNT_NEW|Split","1.4033820629","0","false","0.660450995","2.1248846054","2.0928237438","false","Promotion","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
"40","Amazon Step_Jan 24","0.173461169","0","false","0.0463964008","3.7386770248","11.480225563","false","Others","SUB","","AMAZON_KPI_GMI_NATURE VALLEY_v19 (Bayesian)_FINAL_MODEL_VIN_ONLY","false"
