"","","","","","","","","","","Coefficient","","","","","","","Shrinkage",""
"#","Variable Name","Vars In Coeff","Vars In STD","Vars In VIF","Fixed","Type","Model Transform","Issues","Group","Prior","Prior Coeff","STD","Lower","Upper","IQR","By","","Centered"
"26","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_RADIO_RADIO_IMPRESSIONS_GRP|CoverCurve(2,0.95,0.5)","-0.0464200862","0.9344829917","3.3367297649","false","","SUB","","","TruncatedNormal","0.0268401578","0.0748367384","0.0134199997","0.0402599983","0.0133661648","","",""
"27","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_SUM_TOTAL_DIGITAL_CUSTOM PARTNERSHIP_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-0.156264782","0.9181222916","2.1926372051","false","","SUB","","","TruncatedNormal","0.045394294","0.213637501","0.0227000006","0.0680899993","0.0226630076","","",""
"28","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_PAIDSEARCH_PAID SEARCH_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","-0.2222576737","11.0017910004","4.298122406","false","","SUB","","","TruncatedNormal","0.0981133878","0.5200430751","0.0490599982","0.1471700072","0.049000474","","",""
"29","TOTALUS_MEDIA_GMI_NATURE VALLEY GRAIN_NATURE VALLEY GRAIN_PRINT_PRINT_IMPRESSIONS_GRP|CoverCurve(2,0.95,0.5)","0.0444807187","0.4054687321","2.813555479","false","","SUB","","","TruncatedNormal","0.0031266201","0.0371939391","0.00156","0.0046899999","0.0015646536","","",""
"30","AMAZON_MEDIA_Search_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.2016584724","1.3793599606","7.6354627609","false","","SUB","","","TruncatedNormal","0.0388962142","0.2537730336","0.0194499996","0.0583400019","0.0194307358","","",""
"31","AMAZON_MEDIA_Display_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","0.0263288375","0.504894793","5.5910205841","false","","SUB","","","TruncatedNormal","0.0414515771","0.1369292289","0.02073","0.0621800013","0.0206657385","","",""
"32","AMAZON_MEDIA_Video_IMPRESSIONS_GRP|CoverCurve(1,0.8,0.5)","0.0329027697","1.0548686981","3.6789455414","false","","SUB","","","TruncatedNormal","0.0376595855","0.1459691375","0.0188299995","0.0564900003","0.0187908726","","",""
"33","AMAZON_KPI_GMI_NV_SNS_NEW_DISCOUNT","1.3437365294","2.06645298","3.0534324646","false","","SUB","","","Normal","1.0866903067","2.1733806133","","","2.9318458939","","",""
"34","NV_Amazon Launches Q22021_3mdvs","3.7106118202","22.3921070099","3.676700592","false","","SUB","","","TruncatedNormal","0.8000000119","1","0","1","0.4822026668","","",""
"35","NV_Amazon Launches Q42022_3mdvs","-9.6653852463","321.0999450684","14.9676208496","false","","SUB","","","TruncatedNormal","0.8000000119","1","0","1","0.4822026668","","",""
"36","NV_Amazon Launches Q32022_3mdvs","7.6969480515","55.977432251","13.2039022446","false","","SUB","","","TruncatedNormal","0.8000000119","1","0","1","0.4822026668","","",""
"37","NV_Amazon Launches Q32021_3mdvs","3.6456410885","36.7387886047","4.2373008728","false","","SUB","","","TruncatedNormal","0.8000000119","1","0","1","0.4822026668","","",""
"38","AMAZON_KPI_GMI_NATURE VALLEY_DEPTH_OF_DISCOUNT_NEW","0.5688256025","1.4183821678","2.6617951393","false","","SUB","","","Normal","0.4503955245","0.900791049","","","1.2151486592","","",""
"39","AMAZON_KPI_GMI_NATURE VALLEY_DEPTH_OF_DISCOUNT_NEW|Split","1.4033820629","7.0825481415","2.0928237438","false","","SUB","","","Normal","1.4680324793","2.9360649586","","","3.9606914409","","",""
"40","Amazon Step_Jan 24","0.173461169","0.4975459874","11.480225563","false","","SUB","","","Normal","-0.173461169","1","","","1.3489795004","","",""
